,Team,Position,First Name,Last Name,FPPG,Played,Salary,Game,Opponent,Injury Indicator,Injury Details,Unnamed: 12,Unnamed: 13,Team Total,Percent of Total,Projected Score,Average Score,Factor,Projection,TPG,PPG,BPG,RPG,APG,SPG,Stat Projection,Value
Dwight Howard,CHA,C,Dwight,Howard,31.838461069,13,7400,CHA@CHI,CHI,,,,,263.233425242,0.120951437074,102.0,103.7,0.983606557377,31.3142622951,4.1,13.9,1.23,12.5,1.3,0.46,31.3142622951,236.314045347
Dwight Powell,DAL,PF,Dwight,Powell,14.3428573608,14,3400,MIN@DAL,MIN,,,,,202.587226742,0.0707984288619,103.0,98.9,1.04145601618,14.7197472194,0.7,4.4,0.43,4.2,1.1,0.86,14.7197472194,230.982227434
Dwyane Wade,CLE,SG,Dwyane,Wade,21.5500008719,14,4900,LAC@CLE,LAC,,,,,207.040125097,0.104086108245,114.5,110.1,1.03996366939,22.3161126249,2.1,8.9,0.79,3.6,3.8,0.79,22.3161126249,219.572292109
E'Twaun Moore,NO,SG,E'Twaun,Moore,21.1800008138,15,4500,NO@DEN,DEN,,,,,238.641148122,0.0887525097012,108.0,108.0,1.0,21.08,1.2,11.6,0.2,2.7,2.3,1.13,21.08,213.472485769
Ed Davis,POR,PF,Ed,Davis,18.8142852783,14,3700,POR@SAC,SAC,,,,,226.508845723,0.0830620332653,103.0,104.6,0.984703632887,18.5529063098,1.0,5.3,0.86,8.0,0.4,0.57,18.5529063098,199.429670922
Emmanuel Mudiay,DEN,PG,Emmanuel,Mudiay,20.0214276995,14,4000,NO@DEN,NO,,,,,205.636111358,0.097363384122,112.5,105.8,1.06332703214,21.304536862,2.1,11.6,0.14,3.5,3.2,0.36,21.304536862,187.753436083
Enes Kanter,NY,C,Enes,Kanter,29.3857138497,14,6400,NY@TOR,TOR,,,,,265.007634215,0.110886291774,105.25,106.0,0.992924528302,29.1501179245,1.9,14.0,0.43,10.5,1.1,0.57,29.1501179245,219.553142686
Evan Turner,POR,SF,Evan,Turner,21.3428562709,14,4400,POR@SAC,SAC,,,,,226.508845723,0.0942252661384,103.0,104.6,0.984703632887,21.102581262,1.9,9.4,0.64,4.2,2.9,0.86,21.102581262,208.505298256
Frank Kaminsky,CHA,PF,Frank,Kaminsky,19.9749997457,12,4200,CHA@CHI,CHI,,,,,263.233425242,0.0758832193417,102.0,103.7,0.983606557377,19.2673770492,0.9,10.9,0.25,4.3,1.6,0.42,19.2673770492,217.985042244
Frank Ntilikina,NY,PG,Frank,Ntilikina,18.0999997457,12,4200,NY@TOR,TOR,,,,,265.007634215,0.0682999182243,105.25,106.0,0.992924528302,17.9317216981,2.1,4.8,0.08,2.2,4.3,2.0,17.9317216981,234.22179257
Garrett Temple,SAC,SG,Garrett,Temple,16.4307697003,13,3800,POR@SAC,POR,,,,,216.209448404,0.0759946885833,96.0,93.6,1.02564102564,16.8056410256,1.0,7.9,0.31,2.2,1.7,1.15,16.8056410256,226.114552501
George Hill,SAC,PG,George,Hill,17.3916664124,12,4300,POR@SAC,POR,,,,,216.209448404,0.0804389749879,96.0,93.6,1.02564102564,17.7617948718,1.6,8.5,0.08,3.0,2.9,0.75,17.7617948718,242.092650604
Goran Dragic,MIA,PG,Goran,Dragic,32.2571432931,14,6700,MIA@WAS,WAS,,,,,254.00050643,0.126996373931,101.5,101.3,1.00197433366,32.2726258638,2.3,19.9,0.14,4.1,4.6,0.79,32.2726258638,207.606286154
Harrison Barnes,DAL,SF,Harrison,Barnes,30.5599995931,15,7200,MIN@DAL,MIN,,,,,202.587226742,0.150848600302,103.0,98.9,1.04145601618,31.6882912032,2.0,18.8,0.13,7.1,1.7,0.73,31.6882912032,227.213261637
Hassan Whiteside,MIA,C,Hassan,Whiteside,40.0,9,8800,MIA@WAS,WAS,,,,,254.00050643,0.157480000974,101.5,101.3,1.00197433366,40.1451135242,1.9,15.7,1.78,13.9,0.4,1.22,40.1451135242,219.204760617
Iman Shumpert,CLE,SG,Iman,Shumpert,13.6181820956,11,3400,LAC@CLE,LAC,,,,,207.040125097,0.065775569297,114.5,110.1,1.03996366939,14.0315622162,1.5,5.6,0.27,3.5,1.5,0.73,14.0315622162,242.310866575
Ish Smith,DET,PG,Ish,Smith,19.0857151576,14,4100,DET@IND,IND,,,,,237.771489343,0.0802691492171,104.0,105.7,0.983916745506,18.8765089877,1.4,9.3,0.14,2.6,4.3,0.43,18.8765089877,217.201178601
J.J. Barea,DAL,SG,J.J.,Barea,22.0400004069,15,4800,MIN@DAL,MIN,,,,,202.587226742,0.108792645821,103.0,98.9,1.04145601618,22.8694438827,2.1,12.1,0.07,3.1,4.4,0.47,22.8694438827,209.887045117
Jae Crowder,CLE,PF,Jae,Crowder,15.2866668701,15,3900,LAC@CLE,LAC,,,,,207.040125097,0.0738343201006,114.5,110.1,1.03996366939,15.8562851953,1.1,8.2,0.07,3.6,1.1,0.67,15.8562851953,245.959249091
Jakob Poeltl,TOR,C,Jakob,Poeltl,16.8857138497,14,3200,NY@TOR,NY,,,,,208.770890494,0.0808815530257,113.25,111.4,1.01660682226,17.0478815081,1.0,6.1,1.07,5.1,0.6,0.5,17.0478815081,187.706607327
Jamal Crawford,MIN,SG,Jamal,Crawford,15.3857138497,14,3000,MIN@DAL,DAL,,,,,221.173053773,0.0695641425899,109.5,108.0,1.01388888889,15.5336111111,1.6,8.9,0.07,1.2,2.4,0.93,15.5336111111,193.129593534
Jamal Murray,DEN,PG,Jamal,Murray,20.4785723005,14,4900,NO@DEN,NO,,,,,205.636111358,0.0995864596217,112.5,105.8,1.06332703214,21.8714744802,2.1,13.2,0.14,2.6,2.4,0.79,21.8714744802,224.036107143
Jameer Nelson,NO,PG,Jameer,Nelson,18.261537992,13,4000,NO@DEN,DEN,,,,,238.641148122,0.0765230059265,108.0,108.0,1.0,18.3,1.6,7.0,0.15,2.5,4.3,1.0,18.3,218.579234973
James Johnson,MIA,PF,James,Johnson,28.1076918382,13,5500,MIA@WAS,WAS,,,,,254.00050643,0.110659983452,101.5,101.3,1.00197433366,28.1887660415,2.8,11.8,0.77,5.5,4.2,1.31,28.1887660415,195.113187711
Jarrett Jack,NY,PG,Jarrett,Jack,16.4749997457,12,3600,NY@TOR,TOR,,,,,265.007634215,0.0621680194026,105.25,106.0,0.992924528302,16.2818396226,1.8,5.0,0.08,3.0,5.4,0.42,16.2818396226,221.105236474
Jeff Green,CLE,PF,Jeff,Green,18.1733337402,15,3800,LAC@CLE,LAC,,,,,207.040125097,0.0877768680427,114.5,110.1,1.03996366939,18.759818347,1.1,10.7,0.2,2.8,1.3,0.87,18.759818347,202.560596788
Jeff Teague,MIN,PG,Jeff,Teague,31.5071432931,14,6700,MIN@DAL,DAL,,,,,221.173053773,0.142454710262,109.5,108.0,1.01388888889,32.2788888889,3.5,13.9,0.36,3.1,7.4,1.86,32.2788888889,207.566004613
Jerami Grant,OKC,PF,Jerami,Grant,21.099999564,14,4500,OKC@SA,SA,,,,,207.41724032,0.101727317996,99.0,103.1,0.960232783705,20.343443259,1.3,9.1,1.0,4.8,1.1,0.93,20.343443259,221.201491936
Jeremy Lamb,CHA,SG,Jeremy,Lamb,28.4769240159,13,4800,CHA@CHI,CHI,,,,,263.233425242,0.108181261516,102.0,103.7,0.983606557377,28.0721311475,1.8,16.4,0.31,5.1,3.2,0.69,28.0721311475,170.988086896
Jerian Grant,CHI,PG,Jerian,Grant,23.2833328247,12,4500,CHA@CHI,CHA,,,,,227.81729755,0.102201777807,96.0,92.4,1.03896103896,24.1437662338,1.6,8.2,0.17,3.5,6.0,1.0,24.1437662338,186.383514338
Jimmy Butler,MIN,SF,Jimmy,Butler,32.3083343506,12,8000,MIN@DAL,DAL,,,,,221.173053773,0.1460771726,109.5,108.0,1.01388888889,32.5958333333,2.3,15.3,0.25,5.0,4.8,1.75,32.5958333333,245.430141889
Joe Harris,BKN,SF,Joe,Harris,16.2923079271,13,3600,UTA@BKN,UTA,,,,,232.694453612,0.0700158842385,103.5,110.0,0.940909090909,15.3869545455,0.4,9.6,0.31,2.2,0.9,0.69,15.3869545455,233.964426772
Jonas Valanciunas,TOR,C,Jonas,Valanciunas,22.1300003052,10,5100,NY@TOR,NY,,,,,208.770890494,0.106001369505,113.25,111.4,1.01660682226,22.4858842011,1.4,11.5,0.3,7.4,0.7,0.4,22.4858842011,226.808959541
Jordan Clarkson,LAL,SG,Jordan,Clarkson,24.0333333333,15,5100,PHO@LAL,PHO,,,,,226.965305632,0.105889899192,117.25,103.7,1.13066538091,27.1562632594,1.9,15.8,0.0,2.7,2.9,0.87,27.1562632594,187.80197965
Jordan Mickey,MIA,PF,Jordan,Mickey,14.1999998093,2,3000,MIA@WAS,WAS,,,,,254.00050643,0.055905399595,101.5,101.3,1.00197433366,14.2240868707,1.0,5.0,1.0,6.0,0.0,0.0,14.2240868707,210.909848012
Josh Richardson,MIA,SF,Josh,Richardson,21.2714276995,14,4600,MIA@WAS,WAS,,,,,254.00050643,0.0837456113711,101.5,101.3,1.00197433366,21.3436623889,2.4,9.4,0.79,3.5,2.3,1.43,21.3436623889,215.520650401
Jrue Holiday,NO,PG,Jrue,Holiday,31.5333333333,15,6200,NO@DEN,DEN,,,,,238.641148122,0.132137033288,108.0,108.0,1.0,31.52,3.1,14.4,0.27,5.0,6.4,1.27,31.52,196.700507614
Julius Randle,LAL,PF,Julius,Randle,23.3733337402,15,5300,PHO@LAL,PHO,,,,,226.965305632,0.102981967553,117.25,103.7,1.13066538091,26.3024252652,2.4,11.3,0.87,6.9,1.5,0.47,26.3024252652,201.502330928
Justin Holiday,CHI,SG,Justin,Holiday,26.6181807085,11,5500,CHA@CHI,CHA,,,,,227.81729755,0.116840033635,96.0,92.4,1.03896103896,27.5031168831,1.2,14.3,0.36,4.9,2.0,1.18,27.5031168831,199.977334328
Justise Winslow,MIA,SF,Justise,Winslow,17.7714287894,14,3900,MIA@WAS,WAS,,,,,254.00050643,0.0699661155768,101.5,101.3,1.00197433366,17.9403257651,0.9,6.6,0.36,5.3,1.6,0.79,17.9403257651,217.387356901
Karl-Anthony Towns,MIN,C,Karl-Anthony,Towns,42.5642874581,14,9900,MIN@DAL,DAL,,,,,221.173053773,0.192447889704,109.5,108.0,1.01388888889,43.1269444444,1.9,21.5,1.79,11.6,1.2,0.64,43.1269444444,229.554867091
Kelly Olynyk,MIA,PF,Kelly,Olynyk,19.8285718645,14,3500,MIA@WAS,WAS,,,,,254.00050643,0.0780650879137,101.5,101.3,1.00197433366,19.9767620928,2.1,9.5,0.5,5.6,1.6,0.64,19.9767620928,175.203568213
Kemba Walker,CHA,PG,Kemba,Walker,36.3230778621,13,8000,CHA@CHI,CHI,,,,,263.233425242,0.137988091097,102.0,103.7,0.983606557377,35.6163934426,2.4,21.5,0.23,3.5,6.6,0.77,35.6163934426,224.615667863
Kentavious Caldwell-Pope,LAL,SG,Kentavious,Caldwell-Pope,25.2769235464,13,5300,PHO@LAL,PHO,,,,,226.965305632,0.111369107609,117.25,103.7,1.13066538091,28.1536788814,1.8,11.5,0.38,5.3,2.5,1.46,28.1536788814,188.252484598
Kevin Love,CLE,C,Kevin,Love,34.4466674805,15,7400,LAC@CLE,LAC,,,,,207.040125097,0.166376770997,114.5,110.1,1.03996366939,35.8019981835,2.2,17.9,0.47,10.4,1.8,0.73,35.8019981835,206.692374042
Kosta Koufos,SAC,C,Kosta,Koufos,16.7571432931,14,3400,POR@SAC,POR,,,,,216.209448404,0.0775042137001,96.0,93.6,1.02564102564,17.1453846154,0.7,4.8,0.64,6.3,1.0,0.57,17.1453846154,198.304096191
Kris Dunn,CHI,SG,Kris,Dunn,24.0874996185,8,5800,CHA@CHI,CHA,,,,,227.81729755,0.105731653731,96.0,92.4,1.03896103896,24.9309090909,3.3,9.8,0.38,4.5,3.4,2.0,24.9309090909,232.64294049
Kristaps Porzingis,NY,PF,Kristaps,Porzingis,45.0384615385,13,9000,NY@TOR,TOR,,,,,265.007634215,0.16995156261,105.25,106.0,0.992924528302,44.8108018868,2.2,28.9,2.15,7.3,1.2,0.46,44.8108018868,200.84443083
Kyle Anderson,SA,SF,Kyle,Anderson,23.9599995931,15,5100,OKC@SA,OKC,,,,,245.169696268,0.0977282264399,99.0,101.5,0.975369458128,23.5172413793,1.0,8.2,1.0,6.5,2.4,0.8,23.5172413793,216.862170088
Kyle Korver,CLE,SG,Kyle,Korver,16.2666666667,15,3600,LAC@CLE,LAC,,,,,207.040125097,0.0785677011111,114.5,110.1,1.03996366939,16.7398819255,0.7,10.9,0.4,2.3,0.4,0.47,16.7398819255,215.055280319
Kyle Kuzma,LAL,PF,Kyle,Kuzma,25.5599995931,15,6400,PHO@LAL,PHO,,,,,226.965305632,0.112616329275,117.25,103.7,1.13066538091,28.846340405,1.7,15.5,0.13,6.8,1.3,0.4,28.846340405,221.865231781
Kyle O'Quinn,NY,C,Kyle,O'Quinn,19.7785709926,14,3900,NY@TOR,TOR,,,,,265.007634215,0.0746339668712,105.25,106.0,0.992924528302,19.7444575472,1.6,6.1,1.21,5.9,2.1,0.5,19.7444575472,197.523785634
LaMarcus Aldridge,SA,PF,LaMarcus,Aldridge,40.1333333333,15,8300,OKC@SA,OKC,,,,,245.169696268,0.163696141669,99.0,101.5,0.975369458128,39.164137931,1.7,22.0,1.33,8.3,2.4,0.73,39.164137931,211.92857646
Lance Stephenson,IND,SF,Lance,Stephenson,16.4266662598,15,3700,DET@IND,DET,,,,,245.871457778,0.0668099762705,105.5,108.5,0.972350230415,16.0029953917,1.1,6.2,0.2,4.1,2.4,0.73,16.0029953917,231.206715333
Lauri Markkanen,CHI,PF,Lauri,Markkanen,28.5333328247,12,6000,CHA@CHI,CHA,,,,,227.81729755,0.125246559991,96.0,92.4,1.03896103896,29.6603896104,1.3,14.7,0.67,7.7,1.5,0.58,29.6603896104,202.289992775
LeBron James,CLE,SF,LeBron,James,53.1666666667,15,11400,LAC@CLE,LAC,,,,,207.040125097,0.256794023099,114.5,110.1,1.03996366939,55.1325794732,4.6,28.3,1.27,7.3,8.7,1.27,55.1325794732,206.774290427
Lonzo Ball,LAL,PG,Lonzo,Ball,31.1533325195,15,7400,PHO@LAL,PHO,,,,,226.965305632,0.137260328986,117.25,103.7,1.13066538091,34.7332449373,2.7,9.0,0.87,6.6,6.9,1.33,34.7332449373,213.052365633
Lucas Nogueira,TOR,C,Lucas,Nogueira,15.1636366411,11,3000,NY@TOR,NY,,,,,208.770890494,0.0726329068442,113.25,111.4,1.01660682226,15.2419524237,0.6,4.2,1.45,3.5,0.5,0.73,15.2419524237,196.825178075
Manu Ginobili,SA,SG,Manu,Ginobili,16.9000002543,12,3800,OKC@SA,OKC,,,,,245.169696268,0.0689318480691,99.0,101.5,0.975369458128,16.5190147783,1.4,8.4,0.42,2.0,2.3,0.92,16.5190147783,230.037932104
Marvin Williams,CHA,PF,Marvin,Williams,18.2692307692,13,4200,CHA@CHI,CHI,,,,,263.233425242,0.0694031571122,102.0,103.7,0.983606557377,17.6450819672,0.5,8.7,0.38,4.2,0.8,0.77,17.6450819672,238.026664189
Mason Plumlee,DEN,C,Mason,Plumlee,16.6214283534,14,3500,NO@DEN,NO,,,,,205.636111358,0.0808293263459,112.5,105.8,1.06332703214,17.6237523629,1.2,6.1,0.79,4.0,1.3,0.93,17.6237523629,198.595618454
Matt Costello,SA,PF,Matt,Costello,14.0,1,3000,OKC@SA,OKC,,,,,245.169696268,0.0571033052335,99.0,101.5,0.975369458128,13.802955665,0.0,2.0,2.0,5.0,0.0,0.0,13.802955665,217.344753747
Maurice Harkless,POR,SF,Maurice,Harkless,17.2357145037,14,4000,POR@SAC,SAC,,,,,226.508845723,0.0760928980442,103.0,104.6,0.984703632887,17.1005353728,0.9,6.8,0.86,4.2,0.8,0.86,17.1005353728,233.910805293
Myles Turner,IND,C,Myles,Turner,33.4249992371,8,7800,DET@IND,DET,,,,,245.871457778,0.1359450159,105.5,108.5,0.972350230415,32.8458064516,1.3,13.8,2.63,8.4,1.3,0.38,32.8458064516,237.473237611
Nemanja Bjelica,MIN,SF,Nemanja,Bjelica,14.2214290074,14,3500,MIN@DAL,DAL,,,,,221.173053773,0.0643000074591,109.5,108.0,1.01388888889,14.3438888889,0.9,7.6,0.21,3.1,0.8,0.64,14.3438888889,244.006351911
Nerlens Noel,DAL,C,Nerlens,Noel,14.3642861503,14,3200,MIN@DAL,MIN,,,,,202.587226742,0.0709042044814,103.0,98.9,1.04145601618,14.9034782609,1.0,4.7,0.71,4.9,0.4,0.71,14.9034782609,214.714977537
Nicolas Batum,CHA,SG,Nicolas,Batum,33.0,1,6500,CHA@CHI,CHI,,,,,263.233425242,0.125364018531,102.0,103.7,0.983606557377,32.4918032787,4.0,16.0,0.0,5.0,6.0,2.0,32.4918032787,200.050454087
Nikola Jokic,DEN,C,Nikola,Jokic,41.8142874581,14,9300,NO@DEN,NO,,,,,205.636111358,0.203341169905,112.5,105.8,1.06332703214,44.0070321361,2.2,16.4,0.64,11.6,4.6,1.57,44.0070321361,211.329861356
OG Anunoby,TOR,SF,OG,Anunoby,13.4571424212,14,3200,NY@TOR,NY,,,,,208.770890494,0.0644589022412,113.25,111.4,1.01660682226,13.5895197487,0.4,6.4,0.07,2.3,1.1,0.93,13.5895197487,235.475576708
Pascal Siakam,TOR,PF,Pascal,Siakam,16.3846153846,13,3300,NY@TOR,NY,,,,,208.770890494,0.0784813215378,113.25,111.4,1.01660682226,16.4918312388,0.7,7.6,0.15,3.8,1.2,0.85,16.4918312388,200.099064332
Pau Gasol,SA,C,Pau,Gasol,28.8066670736,15,5900,OKC@SA,OKC,,,,,245.169696268,0.11749685019,99.0,101.5,0.975369458128,28.2186206897,1.8,10.5,1.27,8.2,3.8,0.27,28.2186206897,209.081799741
Paul George,OKC,SF,Paul,George,38.1714303153,14,8500,OKC@SA,SA,,,,,207.41724032,0.184032100014,99.0,103.1,0.960232783705,36.9543840931,2.7,21.9,0.43,5.9,2.4,2.36,36.9543840931,230.013304472
Paul Millsap,DEN,PF,Paul,Millsap,32.3785705566,14,7200,NO@DEN,NO,,,,,205.636111358,0.157455664488,112.5,105.8,1.06332703214,34.3660586011,2.2,15.7,1.29,6.4,2.9,1.07,34.3660586011,209.509041568
